id,name,image,type,effect,description,dlc
0,Moore's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"Moore's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items. Remain sad forever",1
1,Ymir's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"Bell bearing of Count Ymir, Mother of Fingers, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",1
2,Herbalist's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a hornsent herbalist who did not survive the war. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Rada Fruit,1
3,Mushroom-Seller's Bell Bearing (1),http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a hornsent mushroom-seller who did not survive the war. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Mushroom - Redflesh Mushroom,1
4,Mushroom-Seller's Bell Bearing (2),http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a hornsent mushroom-seller who did not survive the war. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Toxic Mushroom - Whiteflesh Mushroom,1
5,Greasemonger's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a hornsent greasemonger who did not survive the war. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Root Resin - Knot Resin,1
6,Moldmonger's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a hornsent moldmonger who did not survive the war. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Fly Mold,1
7,Igon's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"Bell bearing of Igon, drake warrior. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Igon's Harpoon",1
8,Spellmachinist's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,Bell bearing of Spellmachinist Rabbath. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Rabbath's Greatbolt,1
9,String-Seller's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a hornsent string-seller who did not survive the war. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - String,1
10,Pidia's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/pitches_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"Servant Pidia's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
11,Seluvis's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/seluviss_bell_bearing_elden_ring_wiki_guide_200px.png,Key Item,Offer to Twin Maiden Husks for new item access,"Preceptor Seluvis's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
12,Patches' Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/pitches_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"Patches' bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
13,Sellen's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/specialized_bell_bearing_(sorceries).png,Key Item,Offer to Twin Maiden Husks for new item access,"Sorceress Sellen's bell bearing, found upon her perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
14,D's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ds_bell_bearing_elden_ring_wiki_guide_200px.png,Key Item,Offer to Twin Maiden Husks for new item access,"D's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
15,Bernahl's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bernahl_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"Knight Bernahl's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items",0
16,Miriel's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/specialized_bell_bearing_1.png,Key Item,Offer to Twin Maiden Husks for new item access,"Miriel, Pastor of Vows' bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
17,Gostoc's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gostocs_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"Gatekeeper Gostoc's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
18,Thops's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thopss_bell_bearing_elden_ring_wiki_guide_200px.png,Key Item,Offer to Twin Maiden Husks for new item access,"Sorcerer Thops's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
19,Kale's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kales_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"Merchant Kale's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
20,Nomadic Merchant's Bell Bearing [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
21,Nomadic Merchant's Bell Bearing [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
22,Nomadic Merchant's Bell Bearing [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
23,Nomadic Merchant's Bell Bearing [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
24,Nomadic Merchant's Bell Bearing [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
25,Nomadic Merchant's Bell Bearing [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
26,Nomadic Merchant's Bell Bearing [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
